VARYING
,Pooling polynomial degree
,Pooling polynomial gamma
""
FIXED
,Dataset,USPS
,Base kernel,RBF
,Base kernel gamma,1 / num_features * variance
,Pooling kernel,polynomial
,Filter size,3
,Filter stride,1
,Pooling being used,True
,Cross validation,5-fold
""
RESULTS
,Degree,Gamma,Avg Error,Std Dev,Min,Max,Time
,1,0.0,3.06,0.28,2.67,3.33,8.0
,1,0.0005,2.76,0.2,2.51,3.0,7.8
,1,0.001,2.59,0.17,2.39,2.8,7.8
,1,0.0015,2.5,0.2,2.22,2.67,7.8
,1,0.002,2.51,0.18,2.26,2.67,7.9
,1,0.0025,2.48,0.17,2.26,2.67,7.8
,1,0.003,2.46,0.28,2.18,2.84,7.8
,1,0.0035,2.4,0.29,2.1,2.8,8.1
,1,0.004,2.4,0.29,2.14,2.8,7.8
,1,0.0045000000000000005,2.39,0.29,2.14,2.8,7.8
,1,0.005,2.37,0.27,2.14,2.76,7.8
,1,0.0055,2.35,0.29,2.1,2.76,7.8
,1,0.006,2.35,0.35,2.06,2.84,7.8
,1,0.006500000000000001,2.37,0.36,2.06,2.88,7.8
,1,0.007,2.39,0.3,2.1,2.8,7.8
,1,0.0075,2.4,0.29,2.1,2.8,7.8
,1,0.008,2.39,0.28,2.1,2.76,7.8
,1,0.0085,2.4,0.29,2.1,2.8,7.8
,1,0.009000000000000001,2.37,0.29,2.06,2.76,7.8
,1,0.0095,2.37,0.29,2.06,2.76,7.8
,1,0.01,2.35,0.28,2.06,2.72,7.8
,1,0.0105,2.36,0.26,2.1,2.72,7.8
,1,0.011,2.36,0.23,2.14,2.67,7.8
,1,0.0115,2.36,0.22,2.18,2.67,7.8
,1,0.012,2.37,0.21,2.22,2.67,7.8
,1,0.0125,2.37,0.21,2.22,2.67,7.8
,1,0.013000000000000001,2.37,0.21,2.22,2.67,7.8
,1,0.0135,2.36,0.22,2.18,2.67,7.8
,1,0.014,2.36,0.22,2.18,2.67,7.8
,1,0.0145,2.36,0.22,2.18,2.67,7.8
,1,0.015,2.35,0.2,2.18,2.63,7.8
,1,0.0155,2.35,0.2,2.18,2.63,7.8
,1,0.016,2.35,0.2,2.18,2.63,7.8
,1,0.0165,2.35,0.2,2.18,2.63,7.8
,1,0.017,2.35,0.2,2.18,2.63,7.8
,1,0.0175,2.35,0.2,2.18,2.63,7.8
,1,0.018000000000000002,2.33,0.22,2.14,2.63,7.8
,1,0.0185,2.35,0.24,2.14,2.67,7.8
,1,0.019,2.35,0.24,2.14,2.67,8.6
,1,0.0195,2.36,0.22,2.18,2.67,10.2
,1,0.02,2.35,0.23,2.18,2.67,7.8
,1,0.0205,2.35,0.23,2.18,2.67,7.8
,1,0.021,2.35,0.23,2.18,2.67,7.8
,1,0.021500000000000002,2.35,0.23,2.18,2.67,7.8
,1,0.022,2.35,0.23,2.18,2.67,7.8
,1,0.0225,2.35,0.23,2.18,2.67,7.8
,1,0.023,2.35,0.23,2.18,2.67,7.9
,1,0.0235,2.35,0.23,2.18,2.67,7.8
,1,0.024,2.33,0.21,2.18,2.63,7.8
,1,0.0245,2.33,0.21,2.18,2.63,7.8
,1,0.025,2.33,0.21,2.18,2.63,7.8
,1,0.025500000000000002,2.33,0.21,2.18,2.63,7.8
,1,0.026000000000000002,2.33,0.21,2.18,2.63,7.8
,1,0.0265,2.33,0.21,2.18,2.63,7.8
,1,0.027,2.33,0.21,2.18,2.63,7.8
,1,0.0275,2.33,0.21,2.18,2.63,7.8
,1,0.028,2.33,0.21,2.18,2.63,7.8
,1,0.0285,2.32,0.22,2.14,2.63,7.8
,1,0.029,2.32,0.22,2.14,2.63,7.8
,1,0.029500000000000002,2.32,0.22,2.14,2.63,7.8
,1,0.03,2.32,0.22,2.14,2.63,7.8
,1,0.0305,2.32,0.22,2.14,2.63,7.8
,2,0.0,3.06,0.28,2.67,3.33,7.8
,2,0.0005,2.52,0.13,2.35,2.63,7.8
,2,0.001,2.46,0.15,2.26,2.63,7.8
,2,0.0015,2.29,0.25,2.06,2.63,7.8
,2,0.002,2.26,0.26,2.06,2.63,7.8
,2,0.0025,2.26,0.26,2.06,2.63,7.8
,2,0.003,2.19,0.21,1.98,2.47,7.8
,2,0.0035,2.14,0.28,1.85,2.51,7.9
,2,0.004,2.15,0.26,1.89,2.51,7.8
,2,0.0045000000000000005,2.14,0.24,1.93,2.47,7.8
,2,0.005,2.17,0.24,1.98,2.51,7.8
,2,0.0055,2.15,0.25,1.93,2.51,7.8
,2,0.006,2.14,0.24,1.93,2.47,7.8
,2,0.006500000000000001,2.14,0.24,1.93,2.47,7.8
,2,0.007,2.15,0.22,1.98,2.47,7.8
,2,0.0075,2.17,0.21,2.02,2.47,7.9
,2,0.008,2.17,0.21,2.02,2.47,8.0
,2,0.0085,2.15,0.19,2.02,2.43,8.0
,2,0.009000000000000001,2.15,0.17,2.02,2.39,7.8
,2,0.0095,2.15,0.17,2.02,2.39,7.8
,2,0.01,2.15,0.17,2.02,2.39,7.8
,2,0.0105,2.15,0.17,2.02,2.39,7.8
