VARYING
,Pooling polynomial degree
,Pooling polynomial gamma
""
FIXED
,Dataset,USPS
,Base kernel,RBF
,Base kernel gamma,1 / num_features
,Pooling kernel,polynomial
,Filter size,2
,Filter stride,1
,Pooling being used,True
,Cross validation,5-fold
""
RESULTS
,Degree,Gamma,Avg Error,Std Dev,Min,Max,Time
,1,0.0,3.06,0.28,2.67,3.33,7.6
,1,0.0005,2.85,0.29,2.51,3.21,7.6
,1,0.001,2.66,0.19,2.43,2.88,7.5
,1,0.0015,2.58,0.14,2.39,2.72,7.6
,1,0.002,2.57,0.22,2.3,2.84,7.5
,1,0.0025,2.54,0.2,2.3,2.8,7.6
,1,0.003,2.51,0.2,2.26,2.76,7.6
,1,0.0035,2.44,0.19,2.22,2.67,7.7
,1,0.004,2.43,0.15,2.22,2.59,7.6
,1,0.0045000000000000005,2.39,0.12,2.26,2.55,7.6
,1,0.005,2.4,0.11,2.3,2.55,7.5
,1,0.0055,2.33,0.13,2.22,2.51,7.5
,1,0.006,2.25,0.14,2.1,2.43,7.5
,1,0.006500000000000001,2.26,0.15,2.1,2.47,7.6
,1,0.007,2.25,0.16,2.1,2.47,7.5
,1,0.0075,2.28,0.2,2.1,2.55,7.6
,1,0.008,2.28,0.2,2.1,2.55,7.5
,1,0.0085,2.28,0.2,2.1,2.55,7.6
,1,0.009000000000000001,2.29,0.19,2.14,2.55,7.5
,1,0.0095,2.29,0.16,2.18,2.51,7.5
,1,0.01,2.3,0.17,2.18,2.55,7.6
,1,0.0105,2.29,0.19,2.14,2.55,7.7
,1,0.011,2.29,0.19,2.14,2.55,7.6
,1,0.0115,2.29,0.19,2.14,2.55,7.9
,1,0.012,2.3,0.2,2.14,2.59,7.5
,1,0.0125,2.3,0.2,2.14,2.59,7.5
,1,0.013000000000000001,2.3,0.2,2.14,2.59,7.5
,1,0.0135,2.32,0.2,2.14,2.59,7.5
,1,0.014,2.32,0.2,2.14,2.59,7.5
,1,0.0145,2.32,0.2,2.14,2.59,7.5
,1,0.015,2.32,0.2,2.14,2.59,10.1
,1,0.0155,2.32,0.2,2.14,2.59,8.6
,1,0.016,2.33,0.22,2.14,2.63,7.6
,1,0.0165,2.33,0.22,2.14,2.63,7.6
,1,0.017,2.32,0.2,2.14,2.59,7.5
,1,0.0175,2.33,0.22,2.14,2.63,7.6
,1,0.018000000000000002,2.35,0.21,2.14,2.63,7.6
,1,0.0185,2.35,0.21,2.14,2.63,7.6
,1,0.019,2.35,0.21,2.14,2.63,7.5
,1,0.0195,2.35,0.21,2.14,2.63,7.6
,1,0.02,2.35,0.21,2.14,2.63,7.6
,1,0.0205,2.37,0.25,2.14,2.72,7.5
,1,0.021,2.37,0.25,2.14,2.72,7.5
,1,0.021500000000000002,2.37,0.25,2.14,2.72,7.5
,1,0.022,2.37,0.25,2.14,2.72,7.6
,1,0.0225,2.37,0.25,2.14,2.72,7.6
,1,0.023,2.37,0.25,2.14,2.72,7.6
,1,0.0235,2.37,0.25,2.14,2.72,7.6
,1,0.024,2.37,0.25,2.14,2.72,7.6
,1,0.0245,2.37,0.25,2.14,2.72,7.5
,1,0.025,2.39,0.24,2.18,2.72,7.6
,1,0.025500000000000002,2.39,0.24,2.18,2.72,7.6
,1,0.026000000000000002,2.39,0.24,2.18,2.72,7.6
,1,0.0265,2.39,0.24,2.18,2.72,7.6
,1,0.027,2.39,0.24,2.18,2.72,7.6
,1,0.0275,2.39,0.24,2.18,2.72,7.5
,1,0.028,2.39,0.24,2.18,2.72,7.6
,1,0.0285,2.39,0.24,2.18,2.72,7.5
,1,0.029,2.39,0.24,2.18,2.72,7.6
,1,0.029500000000000002,2.39,0.24,2.18,2.72,7.5
,1,0.03,2.37,0.24,2.18,2.72,7.7
,1,0.0305,2.37,0.24,2.18,2.72,7.6
,2,0.0,3.06,0.28,2.67,3.33,7.5
,2,0.0005,2.62,0.14,2.43,2.76,7.7
,2,0.001,2.5,0.19,2.26,2.72,7.7
,2,0.0015,2.37,0.14,2.22,2.55,7.5
,2,0.002,2.21,0.16,2.1,2.43,7.5
,2,0.0025,2.28,0.22,2.1,2.59,7.5
,2,0.003,2.26,0.24,2.06,2.59,7.5
,2,0.0035,2.22,0.26,2.02,2.59,7.5
,2,0.004,2.22,0.23,2.06,2.55,7.6
,2,0.0045000000000000005,2.22,0.23,2.06,2.55,7.5
,2,0.005,2.21,0.21,2.06,2.51,7.5
,2,0.0055,2.21,0.22,2.02,2.51,7.5
,2,0.006,2.17,0.19,1.98,2.43,7.7
,2,0.006500000000000001,2.15,0.2,1.98,2.43,7.5
,2,0.007,2.15,0.2,1.98,2.43,7.6
,2,0.0075,2.13,0.19,1.93,2.39,7.6
,2,0.008,2.14,0.21,1.93,2.43,7.5
,2,0.0085,2.14,0.21,1.93,2.43,7.5
,2,0.009000000000000001,2.14,0.21,1.93,2.43,7.6
,2,0.0095,2.15,0.2,1.98,2.43,7.5
,2,0.01,2.15,0.2,1.98,2.43,7.5
,2,0.0105,2.17,0.22,1.98,2.47,7.5
,2,0.011,2.17,0.22,1.98,2.47,7.5
,2,0.0115,2.17,0.22,1.98,2.47,7.5
,2,0.012,2.17,0.22,1.98,2.47,7.5
,2,0.0125,2.17,0.22,1.98,2.47,7.6
,2,0.013000000000000001,2.17,0.22,1.98,2.47,7.6
